id,name,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,availability_365,bedrooms,bathrooms,review_scores_rating,accommodates,reviews_per_month,host_since,price_per_bedroom,price_per_bathroom,price_per_person,host_experience_years,experienced_host,luxury_flag
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Western Addition,Entire home/apt,158.0,2,485,266,1.0,1.0,4.89,3,2.5,2008-07-31,158.0,158.0,52.666666666666664,16.95068493150685,True,False
5858,Creative Sanctuary,8904,Bernal Heights,Entire home/apt,250.0,30,110,312,2.0,2.0,4.88,4,0.56,2009-03-02,125.0,125.0,62.5,16.364383561643837,True,False
8014,female HOST quiet fast internet market parking,22402,Outer Mission,Private room,62.0,4,89,44,1.0,2.0,4.76,1,0.57,2009-06-20,62.0,31.0,62.0,16.063013698630137,True,False
8339,Historic Alamo Square Victorian,24215,Western Addition,Entire home/apt,527.0,9,28,364,1.0,1.5,4.87,2,0.15,2009-07-02,527.0,351.3333333333333,263.5,16.03013698630137,True,True
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Bayview,Private room,107.0,1,39,343,1.0,1.5,4.97,2,0.21,2009-09-07,107.0,71.33333333333333,53.5,15.846575342465753,True,False
10578,Classic Nob Hill Studio - Roof Deck,37049,Nob Hill,Entire home/apt,100.0,30,18,304,0.0,1.0,4.93,2,0.11,2009-09-08,inf,100.0,50.0,15.843835616438357,True,False
11490,Cozy Nob Hill Nook,42681,Nob Hill,Private room,70.0,30,45,122,1.0,1.0,4.79,2,0.24,2009-10-01,70.0,70.0,35.0,15.780821917808218,True,False
12522,Perfectly located Castro,18431,Castro/Upper Market,Private room,115.0,3,519,25,1.0,1.5,4.93,2,2.76,2009-05-22,115.0,76.66666666666667,57.5,16.14246575342466,True,False
18231,Loft-like Apt./Garden,70224,Noe Valley,Entire home/apt,95.0,30,72,187,0.0,1.0,4.85,3,0.39,2010-01-13,inf,95.0,31.666666666666668,15.495890410958904,True,False
18904,Lower Haight Urban Zen With Private Bath,72464,Western Addition,Private room,116.0,2,506,35,1.0,1.0,4.89,2,3.07,2010-01-21,116.0,116.0,58.0,15.473972602739726,True,False
21334,Studio loft on top of Russian Hill,81455,Nob Hill,Entire home/apt,251.0,30,125,365,1.0,1.0,4.88,2,0.68,2010-02-15,251.0,251.0,125.5,15.405479452054795,True,False
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,Potrero Hill,Private room,169.0,2,409,249,1.0,1.0,4.91,2,2.23,2010-03-26,169.0,169.0,84.5,15.2986301369863,True,False
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Pacific Heights,Entire home/apt,254.0,5,496,165,1.0,1.0,4.86,4,2.68,2010-03-29,254.0,254.0,63.5,15.29041095890411,True,False
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Glen Park,Private room,160.0,5,78,313,1.0,1.0,4.97,2,0.71,2010-04-04,160.0,160.0,80.0,15.273972602739725,True,False
29557,gigi's bed and breakfast,126036,Outer Richmond,Entire home/apt,200.0,2,142,300,1.0,1.0,4.97,4,0.79,2010-05-16,200.0,200.0,50.0,15.158904109589042,True,False
32414,"Cozy, Sunny and Private Space",140251,Bernal Heights,Entire home/apt,162.0,30,93,197,2.0,1.0,4.81,2,0.51,2010-06-07,81.0,162.0,81.0,15.098630136986301,True,False
39418,"Comfortable Home Base, Bernal Heights, great area!",169184,Bernal Heights,Entire home/apt,89.0,30,27,236,0.0,1.0,4.92,1,0.16,2010-07-17,inf,89.0,89.0,14.98904109589041,True,False
40092,Cute Private Apt in the hip Mission,172182,Mission,Entire home/apt,116.0,30,107,195,1.0,1.0,4.63,2,0.6,2010-07-19,116.0,116.0,58.0,14.983561643835616,True,False
41055,Quiet Cozy Castro Cottage,178043,Castro/Upper Market,Entire home/apt,130.0,4,90,13,1.0,1.0,4.76,3,0.5,2010-07-22,130.0,130.0,43.333333333333336,14.975342465753425,True,False
41609,Spacious Quiet SF Downtown Work-From-Home Retreat,54299,Downtown/Civic Center,Entire home/apt,178.0,30,30,234,1.0,1.0,4.97,2,0.17,2009-11-14,178.0,178.0,89.0,15.66027397260274,True,False
41730,The 'Original' Urban Oasis SF,128327,Castro/Upper Market,Private room,74.0,30,123,298,1.0,1.0,4.82,1,0.68,2010-05-19,74.0,74.0,74.0,15.150684931506849,True,False
45299,Private Castro Studio with king sized bed,178043,Castro/Upper Market,Entire home/apt,77.0,3,174,21,0.0,1.0,4.65,2,0.96,2010-07-22,inf,77.0,38.5,14.975342465753425,True,False
47682,One-bedroom apt.  Lafayette Park,216682,Pacific Heights,Entire home/apt,130.0,30,38,225,1.0,1.0,4.87,2,0.21,2010-08-29,130.0,130.0,65.0,14.871232876712329,True,False
51773,Prime Location - Very Small Cozy Room,216682,Pacific Heights,Private room,65.0,30,166,86,1.0,1.5,4.6,1,0.97,2010-08-29,65.0,43.333333333333336,65.0,14.871232876712329,True,False
54518,Classic Downtown San Francisco,255971,Financial District,Entire home/apt,139.0,30,23,83,1.0,1.0,4.5,2,0.14,2010-10-07,139.0,139.0,69.5,14.764383561643836,True,False
54634,Studio Apartment Lafayette Park,216682,Pacific Heights,Entire home/apt,145.0,30,52,135,1.0,1.0,4.74,2,0.29,2010-08-29,145.0,145.0,72.5,14.871232876712329,True,False
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Outer Richmond,Entire home/apt,170.0,30,13,229,1.0,1.0,4.77,4,0.07,2010-10-15,170.0,170.0,42.5,14.742465753424657,True,False
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Twin Peaks,Entire home/apt,170.0,30,34,222,1.0,1.0,4.81,4,0.19,2010-10-15,170.0,170.0,42.5,14.742465753424657,True,False
57561,"Bernal Heights Apartment, Patio + Parking",272890,Bernal Heights,Entire home/apt,126.0,30,236,299,1.0,1.0,4.63,2,1.33,2010-10-27,126.0,126.0,63.0,14.70958904109589,True,False
60101,5BD Bernal Heights Urban Getaway Near 101/280,289376,Bernal Heights,Entire home/apt,439.0,4,26,55,5.0,2.0,5.0,9,0.15,2010-11-17,87.8,219.5,48.77777777777778,14.652054794520549,True,False
63247,Lovely art suite with parking and yard,290120,Mission,Entire home/apt,210.0,2,442,63,1.0,1.0,4.69,2,2.5,2010-11-17,210.0,210.0,105.0,14.652054794520549,True,False
64165,Great room in a fantastic location!,237691,Marina,Private room,155.0,30,78,288,1.0,1.0,4.97,2,0.46,2010-09-17,155.0,155.0,77.5,14.819178082191781,True,False
66119,Large garden studio  apt. near Golden Gate Park,52862,Outer Richmond,Entire home/apt,100.0,30,97,365,0.0,1.0,4.15,2,0.57,2009-11-10,inf,100.0,50.0,15.67123287671233,True,False
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Mission,Entire home/apt,277.0,30,51,125,1.0,1.0,4.83,2,0.3,2011-01-06,277.0,277.0,138.5,14.515068493150684,True,False
69410,Private 1BR Inner Richmond Apartment,347624,Inner Richmond,Entire home/apt,116.0,30,75,130,1.0,1.0,4.91,2,0.44,2011-01-14,116.0,116.0,58.0,14.493150684931507,True,False
70753,Single Bed In 8 Bed Dorm - Downtown @ ITH Hostels,329072,Financial District,Shared room,57.0,1,457,261,1.0,1.0,4.62,8,2.61,2010-12-28,57.0,57.0,7.125,14.53972602739726,True,False
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,Bernal Heights,Entire home/apt,132.0,3,401,107,1.0,1.0,4.95,2,3.54,2011-01-29,132.0,132.0,66.0,14.452054794520548,True,False
72444,Single Bed In 8 Bed Quiet Dorm @ ITH Hostels,329072,Financial District,Shared room,45.0,1,581,267,1.0,1.0,4.73,8,3.35,2010-12-28,45.0,45.0,5.625,14.53972602739726,True,False
